"forecastdate","lst","height","z","win_s","win_d","rh","tc","td"
"2018-01-01 20:00:00","2018-01-03 23:00:00",1000,240.31,10.26,46.83,94.38,5.14,4.24
"2018-01-01 20:00:00","2018-01-04 00:00:00",1000,240.56,11.95,46.79,87.4,4.88,2.9
"2018-01-01 20:00:00","2018-01-04 01:00:00",1000,237.69,9.97,39.75,91.2,4.88,3.5
"2018-01-01 20:00:00","2018-01-04 02:00:00",1000,235.2,8.98,47.99,96.57,4.75,4.17
"2018-01-01 20:00:00","2018-01-04 03:00:00",1000,234.76,10.37,46.51,93.46,4.68,3.64
"2018-01-01 20:00:00","2018-01-04 04:00:00",1000,235.54,10.5,42.99,88.85,4.97,3.22
"2018-01-01 20:00:00","2018-01-04 05:00:00",1000,234.7,9.17,49.06,93.83,4.8,3.82
"2018-01-01 20:00:00","2018-01-04 06:00:00",1000,234.43,9.34,45.1,93.79,4.64,3.66
"2018-01-01 20:00:00","2018-01-04 07:00:00",1000,233.2,9.37,46.36,93.15,4.51,3.43
"2018-01-01 20:00:00","2018-01-04 08:00:00",1000,231.34,8.69,42.22,96.98,4.75,4.24
"2018-01-01 20:00:00","2018-01-04 09:00:00",1000,227.75,8.35,41.38,96.58,5.01,4.43
"2018-01-01 20:00:00","2018-01-04 10:00:00",1000,219.27,9.4,45.56,95.87,4.98,4.31
"2018-01-01 20:00:00","2018-01-04 11:00:00",1000,213.67,7.82,34.41,95.73,5.37,4.67
"2018-01-01 20:00:00","2018-01-04 12:00:00",1000,208.86,7.27,35.36,96.52,5.5,4.92
"2018-01-01 20:00:00","2018-01-04 13:00:00",1000,202.37,7.23,33.25,94.5,5.94,5.05
"2018-01-01 20:00:00","2018-01-04 14:00:00",1000,197.53,7.24,32.15,97.82,6,5.6
"2018-01-01 20:00:00","2018-01-04 15:00:00",1000,194.3,7.78,41.96,96.77,5.99,5.43
"2018-01-01 20:00:00","2018-01-04 16:00:00",1000,194.53,8.65,38.52,95.4,6.28,5.52
"2018-01-01 20:00:00","2018-01-04 17:00:00",1000,191.77,8.31,30.76,95.88,6.52,5.83
"2018-01-01 20:00:00","2018-01-04 18:00:00",1000,189.04,8.75,29.91,93.11,6.75,5.64
"2018-01-01 20:00:00","2018-01-04 19:00:00",1000,189.03,8.14,33.63,96.41,6.69,6.08
"2018-01-01 20:00:00","2018-01-04 20:00:00",1000,187.83,7.8,32.91,98.08,7.03,6.66
"2018-01-01 20:00:00","2018-01-04 21:00:00",1000,186.16,7.26,36.78,97.13,7.3,6.79
"2018-01-01 20:00:00","2018-01-04 22:00:00",1000,179.9,7.61,45.06,96.67,7.34,6.76
"2018-01-01 20:00:00","2018-01-04 23:00:00",1000,179.57,8.85,54.32,96.29,7,6.37
"2018-01-01 20:00:00","2018-01-05 00:00:00",1000,177.18,8.82,46.44,93.67,7.12,6.09
"2018-01-01 20:00:00","2018-01-05 01:00:00",1000,172.59,8.05,46.82,95.03,7.36,6.53
"2018-01-01 20:00:00","2018-01-05 02:00:00",1000,172.5,7.79,57.55,96.62,7.15,6.56
"2018-01-01 20:00:00","2018-01-05 03:00:00",1000,173.6,7.97,61.92,97.47,6.7,6.24
"2018-01-01 20:00:00","2018-01-05 04:00:00",1000,178.91,7.27,63.29,97.75,6.73,6.31
"2018-01-01 20:00:00","2018-01-05 05:00:00",1000,184.13,9.15,78.41,95.51,6.73,5.98
"2018-01-01 20:00:00","2018-01-05 06:00:00",1000,187.47,8.9,72.39,95.6,6.68,5.95
